ReadingLevel,PromptType,FKGLScore
E,1,3.48
E,1,5.17
E,1,2.9
E,1,6.98
E,1,7.86
E,1,5.48
E,1,4.86
E,1,5.88
E,1,7.68
E,1,6.77
E,2,1.59
E,2,5.26
E,2,4.67
E,2,3.31
E,2,7.33
E,2,5.26
E,2,5.75
E,2,6.49
E,2,7.68
E,2,6.43
E,3,6.95
E,3,7.93
E,3,7.6
E,3,5.31
E,3,6.01
E,3,7.02
E,3,9.93
E,3,6.97
E,3,12.47
E,3,11.44
E,4,5.32
E,4,8.9
E,4,5.29
E,4,7.34
E,4,5.71
E,4,8.45
E,4,3.84
E,4,5.48
E,4,9.16
E,4,9.26
E,5,4.54
E,5,6.33
E,5,3.6
E,5,5.94
E,5,6.13
E,5,8.63
E,5,11.78
E,5,8.26
E,5,10.32
E,5,7.87
E,6,4.5
E,6,6.43
E,6,5.72
E,6,5.56
E,6,6.32
E,6,8.52
E,6,5.93
E,6,6.58
E,6,8.11
E,6,5.96
E,7,1.63
E,7,3.95
E,7,1.11
E,7,3.18
E,7,1.66
E,7,3.14
E,7,3.06
E,7,3.26
E,7,3.49
E,7,1.6
M,1,6.53
M,1,6.71
M,1,4.36
M,1,8.99
M,1,8.18
M,1,5.91
M,1,4.73
M,1,6.59
M,1,6.38
M,1,5.77
M,2,4.24
M,2,7.7
M,2,5.55
M,2,9.09
M,2,6.48
M,2,5.07
M,2,4.85
M,2,6.27
M,2,6.85
M,2,5.77
M,2,10.44
M,2,7.92
M,2,9.59
M,2,11.86
M,2,8.15
M,2,12.36
M,2,11.05
M,2,6.83
M,2,11.28
M,2,10.19
M,3,10.44
M,3,7.92
M,3,9.59
M,3,11.86
M,3,8.15
M,3,12.36
M,3,11.05
M,3,6.83
M,3,11.28
M,3,10.19
M,4,6.46
M,4,7.25
M,4,6.58
M,4,7.6
M,4,6.79
M,4,6.52
M,4,5.97
M,4,5.82
M,4,9.33
M,4,8.58
M,5,6.84
M,5,9.63
M,5,5.83
M,5,7.89
M,5,7.17
M,5,5.43
M,5,6.3
M,5,5.19
M,5,8.15
M,5,10
M,6,7.6
M,6,9.18
M,6,5.63
M,6,9.93
M,6,8.91
M,6,6.29
M,6,5.78
M,6,4.2
M,6,7.45
M,6,8.71
M,7,4.39
M,7,6.22
M,7,0.62
M,7,4.77
M,7,3.24
M,7,4.11
M,7,1.9
M,7,4.16
M,7,5.57
M,7,5.35
H,1,8.36
H,1,11.66
H,1,7.55
H,1,9.5
H,1,10.28
H,1,7.97
H,1,5.86
H,1,6.54
H,1,7.36
H,1,12.76
H,2,8.07
H,2,7.55
H,2,8.12
H,2,13.71
H,2,9.41
H,2,7.97
H,2,7.81
H,2,7.53
H,2,7.04
H,2,6.93
H,3,9.95
H,3,10.24
H,3,9.06
H,3,13.31
H,3,9.38
H,3,11.27
H,3,10.69
H,3,8.36
H,3,11.17
H,3,10.73
H,4,9.52
H,4,14.77
H,4,9.62
H,4,10.52
H,4,11.39
H,4,13.78
H,4,11.16
H,4,11.35
H,4,10.57
H,4,13.49
H,5,12.49
H,5,13.03
H,5,10.33
H,5,12.15
H,5,12.41
H,5,9.86
H,5,8.13
H,5,9.56
H,5,8.88
H,5,11.36
H,6,8.26
H,6,10.95
H,6,7.2
H,6,10.52
H,6,7.1
H,6,7.53
H,6,7.73
H,6,7.4
H,6,8.87
H,6,10.16
H,7,7.25
H,7,8.95
H,7,6.99
H,7,9.97
H,7,9.17
H,7,9.91
H,7,7.05
H,7,5.3
H,7,7.32
H,7,5.05
